Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  R[12]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q12ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m    Q12m
450.87 1.94341 215.816 169.577 1.00816 1.0178 0.1 0.6 0.9 1.2 1.5 2 2.5 3 3.5 4.3 4.5 5.2 5.8 0.0407193 0.23756 0.0980935 0.170803 0.180854 0.131957 0.0799782 0.0355574 0.0250848 0.0060188 0.00153158 9.4369e-16 2.81664e-13 0.0706401 0.210336 0.111818 0.152751 0.151236 0.171958 0.0418033 0.0666618 0.0158915 0.0246984 4.42313e-13 3.66374e-15 0
837.265 3.6089 376.127 329.888 1.01572 1.07229 0.2 0.6 1.1 1.4 1.6 1.9 2.5 2.9 3.7 3.8 5.1 5.3 5.9 0.087011 0.194833 0.196567 0.047444 0.287281 0.0505936 0.0095395 0.11195 5.83544e-12 0.0165452 4.71845e-15 0.01396 1.28841e-13 0.0989649 0.182099 0.253979 0.10719 0.0716002 0.10691 0.142915 0.0111683 0.0565071 0.00790829 0.033052 1.88738e-15 0
425.263 1.83303 200.671 154.433 1.01897 1.02897 0.2 0.6 0.9 1.3 1.6 2.2 2.8 3.2 3.7 4.4 4.5 5.2 7.7 0.0569465 0.190331 0.174017 0.17716 0.170318 0.142276 0.0489662 0.0276102 0.0143863 0.000577192 0.0019317 8.97835e-11 0.0144477 0.106182 0.121349 0.201098 0.16814 0.157022 0.14093 0.0758076 2.06363e-11 0.0402326 0.0139336 5.58999e-11 0.00427138 0
441.797 1.9043 210.551 164.312 1.00848 1.00078 0.3 0.6 0.7 0.9 1.4 1.9 2.4 3 3.3 3.9 4.3 5.1 4.2 0.101757 0.00189893 0.167967 0.163316 0.271495 0.124487 0.105251 0.0314056 0.0276761 0.0048951 0.00833532 1.70625e-12 2.66176e-13 0.170888 1.66755e-13 1.11744e-13 0.288055 0.228971 0.124718 0.107234 0.0475965 1.89442e-11 0.0310147 7.59076e-12 0.00230515 0
510.82 2.20181 248.149 201.91 1.01333 1.06918 0.0001 0.5 0.9 1.1 1.5 1.9 2.5 3.1 3.6 3.8 5.1 5.2 5.5 0.0659699 0.143678 0.0613689 0.25372 0.193116 0.153042 0.0400292 0.0764205 0.0165068 1.72085e-15 4.09506e-12 0.00947755 6.06404e-12 0.0581946 0.173453 0.108666 0.200175 0.164194 0.129796 0.129717 0.0314785 0.016167 0.0319929 0.0199461 0.00539574 0
428.995 1.84912 202.935 156.696 1.01893 1.04939 0.3 0.7 0.9 1.4 1.7 2.2 2.6 3.2 3.8 4.4 3.9 5.8 7.7 0.10253 0.164601 0.173094 0.242479 0.0937316 0.120959 0.0492621 0.0467815 3.21139e-07 0.00084622 0.009999 2.78111e-14 0.0146497 0.15987 0.0281174 0.294074 0.122301 0.18691 0.0850347 0.0667387 0.0534538 0.010874 0.0275095 5.00095e-10 0.0145067 0
506.013 2.18109 245.7 199.461 1.01395 1.08192 0.1 0.3 0.8 1 1.5 1.8 2.3 2.9 3.4 3.9 4.4 5.2 5.7 0.0172583 0.147958 0.0121666 0.326849 0.191654 0.151039 0.0501633 0.0583899 0.0483617 2.77556e-16 5.55112e-17 0.0101145 3.20854e-14 0.00758425 0.145953 0.200023 0.140318 0.204833 0.11184 0.119389 0.0595034 0.0540887 1.51396e-12 0.0262525 0.0121359 0
442.706 1.90822 211.083 164.844 1.00806 1.14178 0.3 0.7 0.9 1.4 1.7 2.2 2.6 3.2 3.6 4.3 4.9 5.9 6 0.102803 0.163088 0.174641 0.240154 0.0969241 0.118725 0.0501797 0.0458685 0.00503173 0.0106452 3.88578e-16 5.55112e-17 7.71605e-15 0.16069 0.0294027 0.293679 0.125521 0.19229 0.090792 0.0759338 0.0659793 0.0237921 0.0424386 0.0200933 0.0211694 0
436.343 1.88079 207.334 161.095 1.00841 1.01022 0.2 0.6 0.7 1.2 1.4 1.9 2.5 3.1 3.4 4.2 4.4 5.9 4.4 0.0597838 0.081838 0.208113 0.186794 0.148104 0.1643 0.0981356 0.0273338 0.0234531 0.00937574 0.00117977 2.22045e-16 6.16174e-15 0.0935376 0.0915581 0.159698 0.224845 0.0821467 0.194965 0.0723033 0.0495394 0.00821425 1.25911e-11 0.0187278 0.0146893 0
448.504 1.93321 214.453 168.214 1.00845 1.05457 0.0001 0.6 0.8 1.3 1.4 2 2.6 3.2 3.7 4.3 4.4 5.3 5.7 0.0384189 0.212416 0.125857 0.209993 0.119891 0.166963 0.0796532 0.0349322 0.0136258 1.6232e-12 0.00669872 7.21645e-16 5.15549e-12 0.0702571 0.191293 0.104986 0.288206 0.0397506 0.162779 0.104805 0.0183951 0.0377244 0.0206682 5.03708e-13 0.0157083 0
434.929 1.87469 206.492 160.254 1.00826 1.06225 0.2 0.6 1 1.2 1.5 1.8 2.3 2.9 3.5 3.9 4.3 5.1 5.6 0.0543171 0.216462 0.184823 0.0740094 0.177704 0.0947312 0.120329 0.0514454 0.0258413 3.36231e-13 0.00859709 1.72085e-15 9.0225e-12 0.100533 0.167017 0.151428 0.151408 0.115889 0.101471 0.132982 0.0703876 0.00264413 0.0538966 1.05471e-15 0.0145909 0
428.087 1.8452 202.386 156.147 1.01852 1.13668 0.1 0.6 0.9 1.3 1.7 1.9 2.4 3 3.6 4.5 4.4 5.8 7.7 0.0409676 0.235512 0.113916 0.26751 0.069306 0.104162 0.101981 0.0467491 0.0212349 5.2863e-08 0.00279691 1.95179e-11 0.0143848 0.0697382 0.215245 0.12103 0.234553 0.0561484 0.150337 0.0862394 0.0787009 0.0472134 0.0548659 2.77556e-16 0.0226088 0
