rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
8.66495 0.792509 1.66516 2.55309 3.03599 3.87226 4.67481 5.12747 5.42393 6.40091 7.30862 8.02597 8.20627 268.955 -6.13214 -327.434 -388.61 -15.9868 672.441 589.724 101.868 -2008.45 1236.61 1116.95 -1228.49
9.2584 0.838439 1.6572 2.33401 2.92935 3.23853 3.96878 4.644 5.2382 6.00887 6.79296 6.86662 7.62094 655.777 -61.7684 -667.983 -786.077 -539.621 956.915 2116.7 285.911 -4723.35 1400.54 2405.89 -1031.38
8.92192 0.746431 1.45074 2.1677 2.68811 3.62953 4.3159 5.27173 5.9053 6.35741 7.21228 7.35052 7.91748 394.409 64.1749 -364.063 -594.23 -221.273 900.836 1343.92 -952.949 -2140.12 1012.84 1584.55 -1016.6
9.01913 0.696019 1.18763 2.1775 3.15042 3.93168 4.06558 4.73082 5.6014 6.21618 6.35727 7.04468 7.9189 383.229 121.706 -587.859 -835.542 122.009 389.354 1568.58 32.7867 -1791.15 -1615.44 2925.5 -701.667
9.26606 0.871184 1.43265 1.98332 2.13211 3.06156 3.51979 4.39646 4.94193 5.62172 5.91064 6.75744 7.74413 695.94 170.958 -432.861 -585.885 -881.956 -255.177 2000 2063.31 -1775.94 -3432.62 3098 -652.218
9.37085 0.813675 1.34453 2.25076 3.22309 3.8595 4.17158 4.73685 5.12357 5.39408 6.01669 6.6662 7.53785 763.358 81.2794 -1265.9 -1290.43 426.701 1488.99 2192.27 563.486 -1658.26 -5007.51 4711.71 -994.119
9.58335 0.289489 1.18059 1.85925 2.26843 3.00785 3.4876 4.41305 4.67694 5.37786 5.94058 6.4443 7.35608 969.294 93.0587 -761.854 -1133.13 -798.667 415.204 2750.47 2188.74 -3662.57 -5000.57 6030.64 -1079.02
9.17354 0.9322 1.59876 2.29635 2.45293 3.27066 3.98218 4.23171 4.44526 5.38854 6.16499 7.0738 7.66603 642.495 88.7404 -569.309 -689.38 -746.535 338.315 864.301 1256 -65.6644 -3131.55 3312.31 -1288.19
8.26722 0.580954 1.43173 2.37238 3.07328 3.65271 4.26878 4.98641 5.86776 6.34313 7.25532 8.05582 8.65773 144.003 28.0075 -158.306 -236.89 -144.892 177.796 623.077 82.4981 -670.91 -405.834 1078.02 -505.183
9.86091 0.746572 1.52236 1.68172 1.87788 2.13859 2.81796 3.45931 4.08956 4.44305 5.25539 6.17557 7.13025 2253 -21.0154 -526.583 -1113.22 -1759.1 -1911.34 894.623 4273.72 3737.35 -10231.3 5496.88 -1081.34
9.07096 0.918748 1.79824 2.61622 3.53176 4.48406 5.1484 5.17557 5.87268 6.08114 6.25536 7.21574 7.61328 520.093 -174.138 -791.879 -473.801 1191.31 998.18 931.577 -1419.33 -1570.68 -1173.64 4232.26 -2258.43
9.43432 0.489484 1.07366 2.0728 3.02793 3.92884 3.98347 4.60149 5.21397 6.18326 6.58901 6.82497 7.31791 750.999 147.038 -1210.38 -1430.51 901.921 1079.04 2026.46 -1358.26 -5293.28 1480.33 5263.79 -2345.58
9.56106 0.654367 1.14136 2.02389 2.96271 3.69633 4.08599 5.03347 5.28604 6.01353 6.76645 6.81163 7.06453 1029.45 201.564 -1597.02 -1873.06 904.251 2908.79 1272.79 -1683.38 -5321.37 5345.82 4828.02 -6004.28
9.7494 0.950613 1.48397 1.76026 2.75814 3.39863 3.84934 3.938 4.90184 5.82819 6.04439 6.20971 7.14222 2081.25 -180.095 -1428.32 -3685.37 -695.527 3089.39 3774.05 -914.323 -11158.6 -810.317 11340.2 -1400.75
